Animal,Corte,Grupo,Region,Foreground.pixels.by.hull.area,Hull.Area,Diameter.of.Bounding.Circle,Mean.Radius,Cell.Area,Cell.Perimeter,Solidity,Round,Circularity,Hull.void.area,Branches,Junctions,End.point.voxels,Triple.points,Quadruple.points,Average.branch.length,Maximum.branch.length,D,Lacunarity
CS2,1,CS,CA1,0.5968,2282,74.9667,31.5814,1362,344.416,0.57,0.494,0.144,920,15,7,9,7,0,13.283,29.556,1140,801
CS2,1,CS,CA1,0.8191,376,32.8571,14.7844,308,91.983,0.715,0.564,0.457,68,3,1,3,1,0,13.876,22.142,41,1246
CS2,1,CS,CA1,0.4057,2036,78.4092,32.8051,826,246.635,0.383,0.43,0.171,1210,7,3,5,3,0,17.84,34.627,87,1271
CS2,1,CS,CA1,0.4576,2380,69.3097,30.9999,1089,341.061,0.435,0.761,0.118,1291,20,11,7,11,0,10.674,27.385,429,1659
CS2,1,CS,CA1,0.4241,2457,70.9627,32.733,1042,371.588,0.403,0.824,0.095,1415,18,9,9,9,0,12.222,20.071,585,1452
CS2,1,CS,CA1,0.2993,5362,119.4364,50.7948,1605,709.72,0.289,0.413,0.04,3757,40,19,20,17,1,10.588,31.799,538,1596
CS2,1,CS,CA1,0.3667,810,42.7727,19.2076,297,184.35,0.336,0.61,0.11,513,7,3,5,3,0,13.865,19.314,31,1183
CS2,1,CS,CA1,0.5644,1529,56.8674,27.2555,863,233.321,0.53,0.855,0.199,666,10,4,7,3,1,12.456,22.657,691,1556
CS2,1,CS,CA1,0.7795,567,32.1701,14.9125,442,108.368,0.703,0.665,0.473,125,7,3,4,2,1,7.706,16.314,433,835
CS2,1,CS,CA1,0.5916,2735,80.8219,33.4369,1618,425.085,0.566,0.58,0.113,1117,29,15,12,14,1,10.341,21.728,1456,1339
CS2,1,CS,CA1,0.5804,1835,59.4276,28.239,1065,313.889,0.547,0.743,0.136,770,16,8,8,8,0,10.98,20.314,1011,832
CS2,1,CS,CA1,0.9658,439,34.9857,14.5389,424,90.569,0.862,0.521,0.65,15,1,0,2,0,0,35.385,35.385,813,398
CS2,1,CS,CA1,0.6931,642,64.6375,28.7517,445,162.794,0.607,0.149,0.211,197,3,1,3,1,0,24.947,61.527,22,916
CS2,1,CS,CA1,0.4601,3408,101.1541,41.7029,1568,468.098,0.44,0.393,0.09,1840,23,11,12,10,1,12.47,30.207,543,1694
CS2,1,CS,CA1,0.4677,3096,86.3771,36.5446,1448,487.47,0.447,0.461,0.077,1648,31,14,16,10,4,10.562,25.899,779,1321
CS2,2,CS,CA1,0.5807,1872,60.0258,27.884,1087,307.889,0.552,0.643,0.144,785,14,7,7,7,0,11.894,26.314,1279,621
CS2,2,CS,CA1,0.9282,390,37,14.1301,362,93.497,0.821,0.384,0.52,28,3,1,3,1,0,11.99,29.556,743,221
CS2,2,CS,CA1,0.9054,497,40.1249,15.746,450,108.811,0.814,0.389,0.478,47,3,1,3,1,0,15.6,26.071,1577,41
CS2,2,CS,CA1,0.5296,1605,66.3702,28.9386,850,246.392,0.499,0.427,0.176,755,13,7,5,7,0,11.638,28.071,378,1300
CS2,2,CS,CA1,0.6891,936,46.8167,21.6155,645,162.752,0.636,0.814,0.306,291,8,4,4,4,0,10.553,18.243,592,590
CS2,2,CS,CA1,0.8865,784,37.6962,17.5395,695,115.539,0.817,0.667,0.654,89,3,1,3,1,0,13.324,31.142,1084,457
CS2,2,CS,CA1,0.567,1857,62.4278,28.1275,1053,323.161,0.538,0.748,0.127,804,15,8,6,8,0,12.402,49.627,1001,613
CS2,2,CS,CA1,0.7123,1620,60.4152,26.8727,1154,209.622,0.671,0.643,0.33,466,7,3,5,3,0,16.238,22.314,1324,647
CS2,2,CS,CA1,0.7262,1344,61.7738,24.153,976,222.007,0.679,0.544,0.249,368,16,8,6,7,0,10.974,27.142,877,884
CS2,2,CS,CA1,0.3693,1113,56.127,26.4635,411,211.765,0.341,0.695,0.115,702,12,6,4,4,2,9.395,22.728,16,798
CS2,2,CS,CA1,0.7574,1385,59.6825,25.2482,1049,183.238,0.71,0.543,0.393,336,9,4,5,3,1,12.135,20.899,1162,464
