Animal,Corte,Grupo,Region,D,D.max(r²),Lacunarity
CS2,1,CS,CA1,1.4857,1.4742,0.493
CS2,1,CS,CA1,1.2955,1.3467,0.5524
CS2,1,CS,CA1,1.3182,1.3592,0.5563
CS2,1,CS,CA1,1.3966,1.3587,0.6277
CS2,1,CS,CA1,1.4169,1.5125,0.5842
CS2,1,CS,CA1,1.4111,1.4454,0.6128
CS2,1,CS,CA1,1.2873,1.3899,0.5441
CS2,1,CS,CA1,1.431,1.3681,0.604
CS2,1,CS,CA1,1.3973,1.3676,0.4981
CS2,1,CS,CA1,1.5295,1.6371,0.5656
CS2,1,CS,CA1,1.4705,1.497,0.4977
CS2,1,CS,CA1,1.4457,1.6392,0.4315
CS2,1,CS,CA1,1.2762,1.4064,0.5091
CS2,1,CS,CA1,1.4118,1.5091,0.6383
CS2,1,CS,CA1,1.4412,1.4799,0.5632
CS2,2,CS,CA1,1.5038,1.4194,0.4682
CS2,2,CS,CA1,1.4369,1.6827,0.3974
CS2,2,CS,CA1,1.5546,1.6606,0.3352
CS2,2,CS,CA1,1.39,1.4267,0.5602
CS2,2,CS,CA1,1.4178,1.3424,0.4627
CS2,2,CS,CA1,1.479,1.5433,0.4421
CS2,2,CS,CA1,1.4693,1.4534,0.4671
CS2,2,CS,CA1,1.5103,1.5279,0.4717
CS2,2,CS,CA1,1.454,1.5646,0.505
CS2,2,CS,CA1,1.2558,1.3048,0.4926
CS2,2,CS,CA1,1.4883,1.4924,0.443
CS2,2,CS,CA1,1.474,1.5228,0.4774
CS2,2,CS,CA1,1.4691,1.5717,0.5053
CS2,2,CS,CA1,1.4726,1.5324,0.4396
CS2,2,CS,CA1,1.4343,1.3856,0.4196
CS2,3,CS,CA1,1.4007,1.4884,0.5319
CS2,3,CS,CA1,1.3454,1.3941,0.5195
CS2,3,CS,CA1,1.3862,1.2381,0.5164
CS2,3,CS,CA1,1.3523,1.321,0.5877
CS2,3,CS,CA1,1.2568,1.288,0.5196
CS2,3,CS,CA1,1.5144,1.6706,0.4846
CS2,3,CS,CA1,1.4368,1.4285,0.5192
CS2,3,CS,CA1,1.5471,1.6185,0.4762
CS2,3,CS,CA1,1.4641,1.5472,0.519
CS2,3,CS,CA1,1.5247,1.7481,0.4497
CS2,3,CS,CA1,1.4642,1.5871,0.5002
CS2,3,CS,CA1,1.4573,1.5311,0.4606
CS2,3,CS,CA1,1.4199,1.5382,0.5536
CS2,3,CS,CA1,1.3456,1.36,0.5698
CS2,3,CS,CA1,1.4327,1.5563,0.5727
CS2,4,CS,CA1,1.3846,1.3586,0.6153
CS2,4,CS,CA1,1.5065,1.4851,0.3501
CS2,4,CS,CA1,0.7825,-0,0.3936
CS2,4,CS,CA1,1.3683,1.4356,0.537
CS2,4,CS,CA1,1.3233,1.3677,0.6413
CS2,4,CS,CA1,1.3218,1.3575,0.5945
CS2,4,CS,CA1,1.3968,1.4301,0.5725
CS2,4,CS,CA1,1.4045,1.4056,0.5277
CS2,4,CS,CA1,1.4442,1.538,0.5126
CS2,4,CS,CA1,1.4171,1.4877,0.624
CS2,4,CS,CA1,1.2386,1.2349,0.6003
CS2,4,CS,CA1,1.4033,1.4781,0.532
CS2,4,CS,CA1,1.3461,1.3884,0.5452
CS2,4,CS,CA1,1.3812,1.4634,0.6647
CS2,4,CS,CA1,1.1469,1.1845,0.6222
CS2,1,CS,CA3,1.3163,1.4083,0.6311
CS2,1,CS,CA3,1.3987,1.401,0.6123
CS2,1,CS,CA3,1.2992,1.1417,0.4631
CS2,1,CS,CA3,1.5128,1.4103,0.4007
CS2,1,CS,CA3,1.4101,1.1963,0.417
CS2,1,CS,CA3,1.4206,1.453,0.5203
CS2,1,CS,CA3,1.5118,1.4855,0.4128
CS2,1,CS,CA3,1.4746,1.6507,0.6221
CS2,1,CS,CA3,1.4216,1.4879,0.4876
CS2,1,CS,CA3,1.4529,1.4702,0.5303
CS2,1,CS,CA3,1.4587,1.4743,0.5664
CS2,1,CS,CA3,1.4012,1.3794,0.5135
CS2,1,CS,CA3,1.4859,1.4924,0.4227
CS2,1,CS,CA3,1.373,1.2966,0.4777
