Animal,Corte,Grupo,Region,Mean Foreground Pixels,Density = Foreground Pixels/Hull Area,Span Ratio,Maximum Span Across Hull,Area,Perimeter,Circularity,Width of Bounding Rectangle,Height of Bounding Rectangle,Maximum Radius from Hull's Centre of Mass,Max/Min Radii,CV for all Radii,Mean Radius,Diameter of Bounding Circle,Maximum Radius from Circle's Centre,Max/Min Radii from Circle Centre,CV for all Radii from Circle's Centre,Mean Radius from Circle's Centre,Method Used to Calculate Circle
CS2,1,CS,CA1,1362,0.5968,1.7556,74.9667,2282,186.442,0.825,40,76,39.271,1.802,0.1778,31.7178,74.9667,37.4833,1.767,0.1681,31.5814,span
CS2,1,CS,CA1,308,0.8191,1.7603,32.8024,376,82.3955,0.696,26,30,19.0228,1.7917,0.2123,14.4938,32.8571,16.4286,1.7009,0.1634,14.7844,triangle
CS2,1,CS,CA1,826,0.4057,2.0129,78.4092,2036,185.6083,0.7427,39,80,40.4349,1.7167,0.1908,32.4274,78.4092,39.2046,1.5342,0.1632,32.8051,span
CS2,1,CS,CA1,1089,0.4576,1.2251,67.6018,2380,187.7064,0.8488,55,69,36.4823,1.3472,0.0951,31.542,69.3097,34.6549,1.4095,0.1254,30.9999,triangle
CS2,1,CS,CA1,1042,0.4241,1.1591,67.2012,2457,194.0644,0.8198,58,68,38.1265,1.4642,0.1169,32.3672,70.9627,35.4814,1.4478,0.1141,32.733,triangle
CS2,1,CS,CA1,1605,0.2993,2.1012,119.4362,5362,295.1332,0.7736,73,119,60.2479,1.882,0.1882,50.7258,119.4364,59.7182,1.9085,0.1883,50.7948,triangle
CS2,1,CS,CA1,297,0.3667,1.2981,42.72,810,113.7592,0.7865,40,34,25.3921,1.5755,0.1642,18.7802,42.7727,21.3863,1.3056,0.0976,19.2076,triangle
CS2,1,CS,CA1,863,0.5644,1.0853,54.1295,1529,155.0028,0.7997,49,52,30.8725,1.3711,0.1125,27.3893,56.8674,28.4337,1.2294,0.0562,27.2555,span
CS2,1,CS,CA1,442,0.7795,1.2271,31.3847,567,90.1027,0.8776,30,29,16.9906,1.2331,0.0577,15.0002,32.1701,16.085,1.2289,0.0714,14.9125,triangle
CS2,1,CS,CA1,1618,0.5916,1.6264,80.2808,2735,203.3184,0.8314,50,81,48.6993,2.3619,0.2751,34.3206,80.8219,40.4109,1.7006,0.1952,33.4369,span
