Animal,Corte,Grupo,Region,Area,X,Y,XM,YM,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
CS2,1,CS,CA1,1362,31.134,49.103,31.134,49.103,344.416,59.221,29.282,96.89,0.144,2.022,0.494,0.57
CS2,1,CS,CA1,308,32.341,27.981,32.341,27.981,91.983,26.368,14.873,46.255,0.457,1.773,0.564,0.715
CS2,1,CS,CA1,826,42.931,51.015,42.931,51.015,246.635,49.442,21.271,81.565,0.171,2.324,0.43,0.383
CS2,1,CS,CA1,1089,67.019,68.61,67.019,68.61,341.061,42.694,32.477,47.066,0.118,1.315,0.761,0.435
CS2,1,CS,CA1,1042,51.884,69.816,51.884,69.816,371.588,40.131,33.059,132.317,0.095,1.214,0.824,0.403
CS2,1,CS,CA1,1605,97.186,59.672,97.186,59.672,709.72,70.321,29.06,63.603,0.04,2.42,0.413,0.289
CS2,1,CS,CA1,297,47.951,32.301,47.951,32.301,184.35,24.894,15.19,9.222,0.11,1.639,0.61,0.336
CS2,1,CS,CA1,863,39.305,34.145,39.305,34.145,233.321,35.853,30.647,13.224,0.199,1.17,0.855,0.53
CS2,1,CS,CA1,442,25.133,26.878,25.133,26.878,108.368,29.096,19.342,35.002,0.473,1.504,0.665,0.703
CS2,1,CS,CA1,1618,50.11,53.68,50.11,53.68,425.085,59.577,34.579,95.814,0.113,1.723,0.58,0.566
CS2,1,CS,CA1,1065,40.895,46.035,40.895,46.035,313.889,42.71,31.749,83.709,0.136,1.345,0.743,0.547
CS2,1,CS,CA1,424,25.262,17.502,25.262,17.502,90.569,32.187,16.773,35.289,0.65,1.919,0.521,0.862
CS2,1,CS,CA1,445,35.363,34.021,35.363,34.021,162.794,61.732,9.178,126.358,0.211,6.726,0.149,0.607
CS2,1,CS,CA1,1568,59.39,54.591,59.39,54.591,468.098,71.298,28.001,126.397,0.09,2.546,0.393,0.44
CS2,1,CS,CA1,1448,52.7,41.31,52.7,41.31,487.47,63.228,29.159,142.906,0.077,2.168,0.461,0.447
CS2,2,CS,CA1,1087,51.376,27.809,51.376,27.809,307.889,46.384,29.838,8.946,0.144,1.555,0.643,0.552
CS2,2,CS,CA1,362,27.036,31.575,27.036,31.575,93.497,34.667,13.296,161.25,0.52,2.607,0.384,0.821
CS2,2,CS,CA1,450,33.189,30.953,33.189,30.953,108.811,38.402,14.92,0.78,0.478,2.574,0.389,0.814
CS2,2,CS,CA1,850,41.258,27.119,41.258,27.119,246.392,50.362,21.49,172.232,0.176,2.344,0.427,0.499
CS2,2,CS,CA1,645,31.987,29.165,31.987,29.165,162.752,31.767,25.852,93.532,0.306,1.229,0.814,0.636
CS2,2,CS,CA1,695,31.365,26.791,31.365,26.791,115.539,36.416,24.3,133.75,0.654,1.499,0.667,0.817
CS2,2,CS,CA1,1053,55.605,28.953,55.605,28.953,323.161,42.332,31.672,172.896,0.127,1.337,0.748,0.538
CS2,2,CS,CA1,1154,32.649,28.353,32.649,28.353,209.622,47.81,30.732,21.067,0.33,1.556,0.643,0.671
CS2,2,CS,CA1,976,36.115,28.418,36.115,28.418,222.007,47.805,25.995,28.433,0.249,1.839,0.544,0.679
CS2,2,CS,CA1,411,34.622,22.892,34.622,22.892,211.765,27.448,19.065,154.897,0.115,1.44,0.695,0.341
CS2,2,CS,CA1,1049,36.939,28.767,36.939,28.767,183.238,49.595,26.931,123.562,0.393,1.842,0.543,0.71
CS2,2,CS,CA1,1322,30.331,48.467,30.331,48.467,375.588,62.996,26.72,104.837,0.118,2.358,0.424,0.511
CS2,2,CS,CA1,645,33.627,21.182,33.627,21.182,157.581,33.976,24.171,117.287,0.326,1.406,0.711,0.688
CS2,2,CS,CA1,581,17.359,27.868,17.359,27.868,137.439,35.793,20.667,67.215,0.387,1.732,0.577,0.739
CS2,2,CS,CA1,444,22,19.223,22,19.223,101.64,34.781,16.254,168.613,0.54,2.14,0.467,0.841
CS2,3,CS,CA1,1366,42.654,39.579,42.654,39.579,282.676,84.756,20.521,135.067,0.215,4.13,0.242,0.653
CS2,3,CS,CA1,543,30.644,25.139,30.644,25.139,134.024,51.177,13.509,147.122,0.38,3.788,0.264,0.704
CS2,3,CS,CA1,518,30.326,37.181,30.326,37.181,179.38,31.87,20.695,72.473,0.202,1.54,0.649,0.538
CS2,3,CS,CA1,759,36.138,40.686,36.138,40.686,167.48,64.787,14.917,124.87,0.34,4.343,0.23,0.784
CS2,3,CS,CA1,866,56.389,81.594,56.389,81.594,255.421,105.5,10.451,113.335,0.167,10.094,0.099,0.649
CS2,3,CS,CA1,918,53.716,31.08,53.716,31.08,277.161,40.441,28.902,54.476,0.15,1.399,0.715,0.604
CS2,3,CS,CA1,1118,38.09,44.545,38.09,44.545,251.321,65.94,21.588,135.9,0.222,3.055,0.327,0.578
CS2,3,CS,CA1,1340,30.732,45.427,30.732,45.427,353.002,54.053,31.564,104.192,0.135,1.712,0.584,0.609
CS2,3,CS,CA1,1837,47.136,61.622,47.136,61.622,481.026,57.709,40.53,105.316,0.1,1.424,0.702,0.505
CS2,3,CS,CA1,216,26.852,27.616,26.852,27.616,95.882,23.732,11.588,100.966,0.295,2.048,0.488,0.603
CS2,3,CS,CA1,606,31.606,32.876,31.606,32.876,149.338,43.859,17.592,64.117,0.341,2.493,0.401,0.682
