Animal,Corte,Grupo,Region,Branches,Junctions,End.point.voxels,Juncction.voxels,Slab.voxels,Average.branch.length,Triple.points,Quadruple.points,Maximum.branch.length
CS2,1,CS,CA1,15,7,9,26,138,13.283,7,0,29.556
CS2,1,CS,CA1,3,1,3,3,30,13.876,1,0,22.142
CS2,1,CS,CA1,7,3,5,8,93,17.84,3,0,34.627
CS2,1,CS,CA1,20,11,7,24,149,10.674,11,0,27.385
CS2,1,CS,CA1,18,9,9,28,154,12.222,9,0,20.071
CS2,1,CS,CA1,40,19,20,72,268,10.588,17,1,31.799
CS2,1,CS,CA1,7,3,5,8,66,13.865,3,0,19.314
CS2,1,CS,CA1,10,4,7,14,90,12.456,3,1,22.657
CS2,1,CS,CA1,7,3,4,8,33,7.706,2,1,16.314
CS2,1,CS,CA1,29,15,12,47,192,10.341,14,1,21.728
CS2,1,CS,CA1,16,8,8,22,120,10.98,8,0,20.314
CS2,1,CS,CA1,1,0,2,0,29,35.385,0,0,35.385
CS2,1,CS,CA1,3,1,3,4,56,24.947,1,0,61.527
CS2,1,CS,CA1,23,11,12,40,191,12.47,10,1,30.207
CS2,1,CS,CA1,31,14,16,52,208,10.562,10,4,25.899
CS2,2,CS,CA1,14,7,7,21,113,11.894,7,0,26.314
CS2,2,CS,CA1,3,1,3,5,24,11.99,1,0,29.556
CS2,2,CS,CA1,3,1,3,1,38,15.6,1,0,26.071
CS2,2,CS,CA1,13,7,5,23,103,11.638,7,0,28.071
CS2,2,CS,CA1,8,4,4,14,55,10.553,4,0,18.243
CS2,2,CS,CA1,3,1,3,3,30,13.324,1,0,31.142
CS2,2,CS,CA1,15,8,6,26,130,12.402,8,0,49.627
CS2,2,CS,CA1,7,3,5,10,87,16.238,3,0,22.314
CS2,2,CS,CA1,16,8,6,31,107,10.974,7,0,27.142
CS2,2,CS,CA1,12,6,4,17,76,9.395,4,2,22.728
CS2,2,CS,CA1,9,4,5,17,70,12.135,3,1,20.899
CS2,2,CS,CA1,13,6,7,23,156,16.429,5,1,35.207
CS2,2,CS,CA1,9,4,6,13,65,10.741,4,0,17.243
CS2,2,CS,CA1,5,2,4,6,54,14.174,2,0,29.142
CS2,2,CS,CA1,2,1,1,3,35,21.399,1,0,24.314
CS2,3,CS,CA1,7,3,5,11,94,18.387,3,0,32.213
CS2,3,CS,CA1,3,1,3,3,44,19.923,1,0,44.698
CS2,3,CS,CA1,9,4,6,10,65,10.224,4,0,28.556
CS2,3,CS,CA1,1,0,2,0,62,77.912,0,0,77.912
CS2,3,CS,CA1,1,0,2,0,100,121.296,0,0,121.296
CS2,3,CS,CA1,15,7,9,24,104,10.48,7,0,32.385
CS2,3,CS,CA1,11,5,7,15,100,12.619,5,0,34.385
CS2,3,CS,CA1,16,7,10,22,144,13.038,6,1,23.449
CS2,3,CS,CA1,11,5,7,17,188,22.797,5,0,72.255
CS2,3,CS,CA1,4,1,4,5,29,11.732,0,1,18.485
CS2,3,CS,CA1,3,1,3,3,60,25.257,1,0,41.213
CS2,3,CS,CA1,29,14,16,45,187,9.642,14,0,21.314
CS2,3,CS,CA1,11,5,7,16,122,15.275,5,0,32.627
CS2,3,CS,CA1,3,1,3,4,60,26.004,1,0,45.284
CS2,3,CS,CA1,11,5,7,15,74,10.067,5,0,23.142
CS2,4,CS,CA1,5,2,4,5,52,14.617,2,0,47.284
CS2,4,CS,CA1,1,0,2,0,26,30.314,0,0,30.314
CS2,4,CS,CA1,3,1,3,3,13,6.69,1,0,9.243
CS2,4,CS,CA1,18,9,9,32,175,13.44,9,0,45.899
CS2,4,CS,CA1,10,5,5,13,101,13.888,5,0,30.728
CS2,4,CS,CA1,5,2,4,4,74,19.099,2,0,47.042
CS2,4,CS,CA1,12,5,8,20,174,19.807,4,1,59.355
CS2,4,CS,CA1,5,2,4,7,65,17.037,2,0,31.314
CS2,4,CS,CA1,11,6,4,17,87,11.566,6,0,17.314
CS2,4,CS,CA1,7,2,6,11,104,20.135,1,0,34.385
