Animal,Corte,Grupo,Region,Foreground.pixels.by.hull.area,Hull.Area,Diameter.of.Bounding.Circle,Mean.Radius,Cell.Area,Cell.Perimeter,Solidity,Round,Circularity,Hull.void.area,Branches,Junctions,End.point.voxels,Triple.points,Quadruple.points,Average.branch.length,Maximum.branch.length,D,Lacunarity
AL1,3,AL,CA3,0.9474,798,48.7545,20.903,756,128.024,0.867,0.551,0.58,42,1,0,2,0,0,44.87,44.87,910,801
AL1,3,AL,CA3,0.8869,840,39.8958,18.3323,745,123.296,0.811,0.866,0.616,95,5,2,4,2,0,11.925,22.314,1156,463
AL1,3,AL,CA3,0.4405,3401,83.5667,37.7528,1498,403.245,0.424,0.608,0.116,1903,14,7,7,7,0,16.355,54.355,566,742
AL1,3,AL,CA3,1.0918,207,19.6921,8.6914,226,56.87,0.944,0.792,0.878,-19,1,0,2,0,0,5.414,5.414,2,3
AL1,3,AL,CA3,0.7598,1124,61.0164,26.2801,854,168.409,0.702,0.447,0.378,270,5,2,4,2,0,16.071,40.728,1009,575
AL1,3,AL,CA3,0.6259,1751,84.4808,32.2141,1096,249.421,0.587,0.32,0.221,655,3,1,3,1,0,38.752,53.284,630,789
AL1,3,AL,CA3,0.7241,1526,81.7435,35.3037,1105,250.877,0.671,0.227,0.221,421,11,5,7,5,0,11.776,21.485,820,931
AL2,3,AL,CA3,0.9457,681,40.2492,16.0362,644,113.054,0.865,0.742,0.633,37,3,1,3,1,0,13.485,21.971,1515,149
AL2,3,AL,CA3,1.0497,483,28.6741,12.82,507,85.497,0.942,0.831,0.872,-24,1,0,2,0,0,7.657,7.657,1096,168
AL2,3,AL,CA3,0.6893,927,65.1929,26.6285,639,166.853,0.628,0.219,0.288,288,3,1,3,1,0,25.095,41.142,783,284
AL2,3,AL,CA3,0.8295,962,80.6536,33.7291,798,188.853,0.75,0.184,0.281,164,1,0,2,0,0,84.527,84.527,696,456
AL2,3,AL,CA3,0.6657,2121,70.4144,30.5104,1412,353.245,0.63,0.634,0.142,709,21,10,10,9,0,11.097,29.971,1210,1281
AL2,3,AL,CA3,0.91,1167,52.0503,22.462,1062,155.681,0.851,0.531,0.551,105,3,1,3,1,0,23.866,43.213,1507,258
AL2,3,AL,CA3,0.9116,294,24.7386,10.5514,268,80.669,0.794,0.638,0.518,26,1,0,2,0,0,25.142,25.142,429,224
AL2,4,AL,CA3,0.8013,1681,62.1475,26.2353,1347,197.48,0.759,0.779,0.434,334,6,2,5,1,1,21.452,34.437,1431,566
AL2,4,AL,CA3,0.986,712,35.117,15.749,702,107.882,0.908,0.877,0.758,10,3,1,3,1,0,8.909,16.485,1385,309
AL2,4,AL,CA3,0.8136,1218,57.2014,24.8238,991,168.752,0.758,0.559,0.437,227,3,1,3,1,0,25.485,41.971,1130,610
AL4,3,AL,CA3,0.9789,522,34.6728,15.0187,511,95.154,0.882,0.587,0.709,11,1,0,2,0,0,24.728,24.728,853,262
AL4,3,AL,CA3,0.803,929,46.072,21.7695,746,136.267,0.74,0.57,0.505,183,7,3,5,3,0,10.302,18.243,811,994
AL4,3,AL,CA3,0.9891,737,34.9737,16.2361,729,109.74,0.911,0.843,0.761,8,3,1,3,1,0,8.714,14.485,1497,141
AL4,3,AL,CA3,0.7957,1126,46.8541,21.6759,896,160.409,0.737,0.836,0.438,230,5,2,4,2,0,16.154,22.728,1139,788
AS3,3,AS,CA3,0.7798,1739,58.9236,27.251,1356,197.137,0.736,0.641,0.438,383,11,5,7,5,0,10.832,25.485,1479,540
AS3,3,AS,CA3,1.0442,498,29.5466,13.2583,520,85.598,0.957,0.841,0.892,-22,1,0,2,0,0,6.243,6.243,1621,12
AS3,3,AS,CA3,0.6134,1795,72.9452,31.6764,1101,289.889,0.576,0.452,0.165,694,15,8,6,8,0,12.395,37.213,715,1341
AS3,4,AS,CA3,0.9738,1143,48.3016,21.3471,1113,136.267,0.904,0.717,0.753,30,3,1,3,1,0,13.633,24.828,1438,314
AS3,4,AS,CA3,1.009,667,32.3704,15.1435,673,100.468,0.923,0.866,0.838,-6,1,0,2,0,0,18.071,18.071,1278,417
CS2,3,CS,CA3,0.8816,608,37.054,15.7273,536,114.225,0.802,0.654,0.516,72,5,2,4,2,0,11.14,17.071,1492,248
CS2,3,CS,CA3,0.5526,3368,88.7694,39.8697,1861,326.475,0.529,0.57,0.219,1507,13,6,8,6,0,14.368,34.385,1054,1232
